index,massinit,Xinit,Yinit,Zinit,fehinit,amlt,fov_core,fov0_core,eta
28462,2.06362,0.74417812,0.25309313,0.00272875,-0.69470215,1.660532,0.018000,0.009000,0.369
28463,0.91362,0.70993730,0.27363762,0.01642508,0.10529785,2.360532,0.002308,0.001154,0.019
28464,0.98550,0.74335419,0.25358748,0.00305832,-0.64470215,2.229282,0.003346,0.001673,0.172
28465,2.13550,0.70523224,0.27646065,0.01830710,0.15529785,1.529282,0.018000,0.009000,0.522
28466,2.71050,0.73208574,0.26034856,0.00756570,-0.24470215,1.879282,0.018000,0.009000,0.347
28467,1.56050,0.64573546,0.31215872,0.04210582,0.55529785,2.579282,0.011652,0.005826,0.697
28468,1.84800,0.73895395,0.25622763,0.00481842,-0.44470215,1.354282,0.015804,0.007902,0.084
28469,2.99800,0.68095957,0.29102426,0.02801617,0.35529785,2.054282,0.018000,0.009000,0.434
28470,2.42300,0.74615763,0.25190542,0.00193695,-0.84470215,2.404282,0.018000,0.009000,0.259
28471,1.27300,0.72145809,0.26672515,0.01181676,-0.04470215,1.704282,0.007499,0.003749,0.609
28472,1.12925,0.73589764,0.25806142,0.00604094,-0.34470215,2.666782,0.005422,0.002711,0.390
28473,2.27925,0.66490340,0.30065796,0.03443864,0.45529785,1.966782,0.018000,0.009000,0.040
